iter	Logloss
0	0.5616744226
1	0.4776884078
2	0.4188520619
3	0.3842592097
4	0.3583140001
5	0.3441908649
6	0.3332781566
7	0.3187124918
8	0.3119714856
9	0.2936452635
10	0.2800587609
11	0.2716309433
12	0.2664907248
13	0.2533524461
14	0.2489025449
15	0.2447193571
16	0.24295946
17	0.2335633344
18	0.232223688
19	0.2294120948
20	0.2221878674
21	0.2210646293
22	0.2196985397
23	0.2076054429
24	0.2063522158
25	0.1986917138
26	0.1966164354
27	0.1958806486
28	0.193557057
29	0.1923991379
30	0.1919528645
31	0.1911440296
32	0.1905121497
33	0.1869959432
34	0.1866162446
35	0.1851640956
36	0.1843110059
37	0.1838860286
38	0.182563108
39	0.1815303526
40	0.1811927986
41	0.1773832949
42	0.1770279583
43	0.176000282
44	0.1752939659
45	0.1750084398
46	0.174655097
47	0.1740469922
48	0.1734425585
49	0.1726397958
50	0.1718431403
51	0.171151064
52	0.170756838
53	0.1696977213
54	0.1691602205
55	0.1685319994
56	0.1679123428
57	0.1665015842
58	0.1657033948
59	0.1618259659
60	0.1610220215
61	0.1607101955
62	0.1600720378
63	0.1595557755
64	0.1591848411
65	0.1589824384
66	0.1586730774
67	0.1581866893
68	0.15764896
69	0.1568305897
70	0.1548013452
71	0.154373726
72	0.1538638606
73	0.1534253765
74	0.152983045
75	0.1519712365
76	0.151611235
77	0.1507341731
78	0.1505805385
79	0.1501951058
80	0.1498797505
81	0.1494897314
82	0.148926193
83	0.1485336334
84	0.1481521122
85	0.1479484487
86	0.147317004
87	0.1469144621
88	0.1451925855
89	0.1449636934
90	0.144385194
91	0.1443135102
92	0.1442058548
93	0.1420702636
94	0.1419203674
95	0.1417845248
96	0.1410514068
97	0.1403142368
98	0.1397636142
99	0.1393866562
100	0.1390141474
101	0.1386625884
102	0.138144221
103	0.1379359814
104	0.1373391521
105	0.1370442993
106	0.1357143607
107	0.1354160115
108	0.1348823655
109	0.1347700348
110	0.1347237279
111	0.1344068675
112	0.1339368027
113	0.1334837789
114	0.1332038332
115	0.1328040473
116	0.132317731
117	0.132114221
118	0.1315307968
119	0.1313597804
120	0.1310177847
121	0.1305725261
122	0.1302176536
123	0.1297676328
124	0.1296386161
125	0.1293737449
126	0.1290350084
127	0.1287232693
128	0.1285478016
129	0.1280409601
130	0.1274519564
131	0.1271837076
132	0.1267932586
133	0.1264557463
134	0.126145747
135	0.1259801033
136	0.1257677507
137	0.1255959404
138	0.1251546712
139	0.1246185042
140	0.124322336
141	0.1238972961
142	0.1230304144
143	0.1229410577
144	0.1226800548
145	0.1216598829
146	0.1211275444
147	0.1208728863
148	0.1205562681
149	0.1204356686
150	0.1199221927
151	0.1196670373
152	0.1194318995
153	0.1193142163
154	0.1187834565
155	0.1183715481
156	0.1180198048
157	0.1178003498
158	0.117541689
159	0.1170829877
160	0.1168790337
161	0.1168746803
162	0.1165519976
163	0.1165006769
164	0.1159519859
165	0.1156965625
166	0.1156254823
167	0.1151888543
168	0.1151884614
169	0.1150826727
170	0.1147526575
171	0.1144042722
172	0.1139992336
173	0.1137760439
174	0.113443816
175	0.1132304907
176	0.1129412459
177	0.1126589093
178	0.1123396701
179	0.1120116972
180	0.1119210029
181	0.1117678935
182	0.1115645909
183	0.1111410172
184	0.1109108872
185	0.1108074653
186	0.1105236919
187	0.1101946027
188	0.1098554491
189	0.1093517777
190	0.1091868467
191	0.1091690507
192	0.1090755029
193	0.1086195761
194	0.1079985492
195	0.1077928726
196	0.1074695047
197	0.1073187784
198	0.1070234955
199	0.1067630108
