iter	Passed	Remaining
0	85	17029
1	114	11326
2	135	8895
3	157	7729
4	183	7159
5	208	6732
6	236	6525
7	256	6166
8	285	6053
9	306	5823
10	333	5726
11	357	5605
12	383	5511
13	399	5311
14	424	5230
15	449	5165
16	474	5108
17	512	5186
18	537	5119
19	563	5071
20	591	5044
21	618	5000
22	639	4917
23	662	4858
24	689	4826
25	713	4774
26	737	4722
27	764	4696
28	792	4674
29	820	4650
30	840	4580
31	865	4544
32	891	4512
33	917	4480
34	944	4451
35	969	4415
36	992	4370
37	1017	4336
38	1048	4329
39	1076	4307
40	1106	4289
41	1127	4242
42	1151	4205
43	1178	4177
44	1204	4149
45	1231	4121
46	1259	4099
47	1284	4066
48	1309	4036
49	1335	4006
50	1362	3979
51	1387	3949
52	1411	3916
53	1437	3887
54	1469	3875
55	1503	3866
56	1530	3839
57	1556	3811
58	1584	3785
59	1605	3747
60	1628	3710
61	1656	3687
62	1682	3658
63	1707	3628
64	1732	3597
65	1751	3556
66	1779	3532
67	1809	3513
68	1843	3499
69	1877	3487
70	1921	3490
71	1961	3487
72	1995	3472
73	2033	3461
74	2079	3465
75	2118	3456
76	2149	3433
77	2180	3410
78	2220	3400
79	2235	3353
80	2279	3348
81	2371	3412
82	2454	3459
83	2535	3501
84	2597	3514
85	2643	3504
86	2695	3501
87	2749	3499
88	2814	3510
89	2871	3510
90	2924	3503
91	2980	3498
92	3034	3491
93	3093	3488
94	3149	3481
95	3222	3490
96	3314	3519
97	3385	3523
98	3464	3534
99	3553	3553
100	3635	3563
101	3707	3561
102	3787	3567
103	3882	3583
104	3959	3582
105	4045	3587
106	4163	3618
107	4224	3598
108	4348	3630
109	4458	3647
110	4536	3637
111	4590	3606
112	4636	3569
113	4711	3554
114	4757	3516
115	4812	3485
116	4849	3439
117	4885	3395
118	4918	3348
119	4953	3302
120	4980	3251
121	5008	3202
122	5033	3150
123	5058	3100
124	5084	3050
125	5111	3002
126	5138	2953
127	5164	2905
128	5190	2856
129	5218	2810
130	5237	2758
131	5261	2710
132	5290	2665
133	5319	2620
134	5349	2575
135	5381	2532
136	5407	2486
137	5434	2441
138	5465	2398
139	5496	2355
140	5524	2311
141	5553	2268
142	5584	2226
143	5614	2183
144	5639	2139
145	5671	2097
146	5701	2055
147	5728	2012
148	5755	1969
149	5782	1927
150	5810	1885
151	5838	1843
152	5866	1802
153	5893	1760
154	5927	1720
155	5961	1681
156	5988	1640
157	6020	1600
158	6049	1559
159	6080	1520
160	6110	1480
161	6134	1439
162	6161	1398
163	6187	1358
164	6211	1317
165	6240	1278
166	6267	1238
167	6293	1198
168	6312	1157
169	6337	1118
170	6362	1079
171	6389	1040
172	6413	1001
173	6439	962
174	6463	923
175	6490	885
176	6511	846
177	6541	808
178	6567	770
179	6597	733
180	6626	695
181	6657	658
182	6686	621
183	6712	583
184	6741	546
185	6767	509
186	6793	472
187	6818	435
188	6844	398
189	6869	361
190	6894	324
191	6914	288
192	6935	251
193	6959	215
194	6983	179
195	7008	143
196	7033	107
197	7059	71
198	7084	35
199	7110	0
